Position,Team,Points
1,Belgium,1828
2,Brazil,1823
3,France,1786
4,Argentina,1767
5,England,1756
6,Italy,1741
7,Spain,1705
8,Portugal,1660
9,Denmark,1655
10,Netherlands,1654
11,Germany,1648
12,Mexico,1648
13,USA,1643
14,Switzerland,1643
15,Croatia,1621
16,Uruguay,1614
17,Sweden,1588
18,Senegal,1588
19,Colombia,1586
20,Wales,1578
21,Iran,1573
22,Peru,1563
23,Japan,1550
24,Morocco,1547
25,Serbia,1547
26,Chile,1543
27,Ukraine,1535
28,Poland,1531
29,South Korea,1523
30,Austria,1512
31,Czechia,1510
32,Nigeria,1510
33,Canada,1498
34,Egypt,1497
35,Russia,1493
36,Tunisia,1490
37,Australia,1487
38,Cameroon,1481
39,Turkey,1473
40,Scotland,1472
41,Hungary,1466
42,Costa Rica,1464
43,Algeria,1461
44,Ecuador,1459
45,Norway,1455
46,Slovakia,1455
47,Romania,1453
48,Mali,1446
49,Ireland,1444
50,Paraguay,1441
51,Ivory Coast,1440
52,Qatar,1438
53,Saudi Arabia,1434
54,N. Ireland,1425
55,Greece,1422
56,Burkina Faso,1419
57,Finland,1412
58,Venezuela,1411
59,Bosnia,1391
60,Iceland,1383
61,Ghana,1381
62,Jamaica,1379
63,Panama,1376
64,Slovenia,1375
65,Albania,1375
66,DR Congo,1370
67,North Macedonia,1367
68,South Africa,1358
69,U. A. E.,1353
70,El Salvador,1346
71,Bulgaria,1345
72,Montenegro,1343
73,Cape Verde,1337
74,Iraq,1325
75,China,1314
